CHEM_ID;CHEMICAL_NAME;SUPER_PATHWAY;SUB_PATHWAY;HMDB;KEGG;Mean_WT;Mean_Disease;Mean_Rescue;Log2FC_Patho;p_value_Patho;Log2FC_Rescue;p_value_Rescue;Padj_Patho;Padj_Rescue;Significatif_Patho;Significatif_Rescue_Brut;Significatif_Rescue
49;putrescine;Amino Acid;Polyamine Metabolism;HMDB0001414;C00134;-1.3904633734587186;0.07034189757821638;-1.518345886150018;1.460805271036935;5.217493394712558e-07;-1.5886877837282345;8.855452743966185e-07;1.3793748162271327e-05;2.2837874981887483e-05;True;True;True
50;spermidine;Amino Acid;Polyamine Metabolism;HMDB0001257;C00315;-0.2829636850205126;0.905850039898893;-0.020008728781409912;1.1888137249194055;3.486695782747016e-07;-0.9258587686803029;8.065666944535772e-06;1.0449416813764897e-05;0.00012636211546439378;True;True;True
55;1-methylnicotinamide;Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;HMDB0000699;C02918;0.03694874728419478;0.12336345618394216;-0.3537451024876679;0.08641470889974738;0.5715990666296615;-0.47710855867161006;0.009573639404965417;0.6878702850194789;0.02434015108791292;False;True;False
62;12,13-DiHOME;Lipid;Fatty Acid, Dihydroxy;HMDB0004705;C14829;-0.6304727993003998;0.49943749852207464;-0.5655925098334751;1.1299102978224744;0.0001078750421641554;-1.0650300083555497;0.0003207338301327826;0.000783469771648956;0.0017173469638755321;True;True;True
93;alpha-ketoglutarate;Energy;TCA Cycle;HMDB0000208;C00026;0.016580587005399716;-0.025209046431611756;0.008836525139869017;-0.041789633437011475;0.8653941442419704;0.034045571571480776;0.8728544815049122;0.9174479273542693;0.8994334852048181;False;False;False
98;kynurenate;Amino Acid;Tryptophan Metabolism;HMDB0000715;C01717;0.1993962790851913;0.4713474656220769;-0.13645892653221897;0.2719511865368856;0.6124211374876429;-0.6078063921542959;0.14614599618020296;0.7236149194337234;0.21921899427030445;False;False;False
111;3-hydroxyisobutyrate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;HMDB0000023,HMDB0000336;C01188,C06001;-0.2949967124511979;0.23997296410993468;-0.31143522377915767;0.5349696765611326;0.1938808382879538;-0.5514081878890924;0.15360895519760906;0.3038879935263;0.22879080298798815;False;False;False
112;3-hydroxy-3-methylglutarate;Lipid;Mevalonate Metabolism;HMDB0000355;C03761;0.03071353943639299;0.4860094846924988;-0.24298986570218825;0.45529594525610584;0.22801206006920777;-0.7289993503946871;0.00497020943465083;0.34569570397589566;0.014753674321805622;False;True;False
132;3-phosphoglycerate;Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;HMDB0000807;C00597;-0.060805200132666715;1.8399630273752472;0.4849856782944128;1.9007682275079139;0.0007435490333252514;-1.3549773490808343;0.02747798870588031;0.0034562773746877073;0.05725708976644025;True;False;False
136;cholate;Lipid;Primary Bile Acid Metabolism;HMDB0000619;C00695;-0.22853482410917025;1.8302255046302025;-0.6305088906988581;2.058760328739373;0.017987741750030126;-2.4607343953290606;0.018510423438882363;0.04515617068405189;0.042096285562619566;True;True;True
143;4-hydroxynonenal;Lipid;Fatty Acid, Oxidized;HMDB0004362;C21642;-0.02729587528105211;-0.21811300565323613;0.003482819477764053;-0.190817130372184;0.13274541280309968;0.22159582513100018;0.02941583919430669;0.22687397824529762;0.0599657830322493;False;False;False
158;5,6-dihydrothymine;Nucleotide;Pyrimidine Metabolism, Thymine containing;HMDB0000079;C00906;-0.46546376982204396;0.09150360065456115;-0.8479779735941273;0.5569673704766052;0.31339170972765307;-0.9394815742486884;0.10694261064763351;0.43968389125969237;0.1736534522224529;False;False;False
