CHEM_ID;CHEMICAL_NAME;SUPER_PATHWAY;SUB_PATHWAY;HMDB;KEGG;Mean_WT;Mean_Disease;Mean_Rescue;Log2FC_Patho;p_value_Patho;Log2FC_Rescue;p_value_Rescue;Padj_Patho;Padj_Rescue;Significatif_Patho;Significatif_Rescue_Brut;Significatif_Rescue
49;putrescine;Amino Acid;Polyamine Metabolism;HMDB0001414;C00134;-1.3904633734587186;0.07034189757821638;-1.518345886150018;1.460805271036935;5.217493394712558e-07;-1.5886877837282345;8.855452743966185e-07;1.3793748162271327e-05;2.2837874981887483e-05;True;True;True
50;spermidine;Amino Acid;Polyamine Metabolism;HMDB0001257;C00315;-0.2829636850205126;0.905850039898893;-0.020008728781409912;1.1888137249194055;3.486695782747016e-07;-0.9258587686803029;8.065666944535772e-06;1.0449416813764897e-05;0.00012636211546439378;True;True;True
62;12,13-DiHOME;Lipid;Fatty Acid, Dihydroxy;HMDB0004705;C14829;-0.6304727993003998;0.49943749852207464;-0.5655925098334751;1.1299102978224744;0.0001078750421641554;-1.0650300083555497;0.0003207338301327826;0.000783469771648956;0.0017173469638755321;True;True;True
132;3-phosphoglycerate;Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;HMDB0000807;C00597;-0.060805200132666715;1.8399630273752472;0.4849856782944128;1.9007682275079139;0.0007435490333252514;-1.3549773490808343;0.02747798870588031;0.0034562773746877073;0.05725708976644025;True;False;False
136;cholate;Lipid;Primary Bile Acid Metabolism;HMDB0000619;C00695;-0.22853482410917025;1.8302255046302025;-0.6305088906988581;2.058760328739373;0.017987741750030126;-2.4607343953290606;0.018510423438882363;0.04515617068405189;0.042096285562619566;True;True;True
172;guanine;Nucleotide;Purine Metabolism, Guanine containing;HMDB0000132;C00242;-0.26389144847203344;0.3995636466800677;-0.12264149623941364;0.6634550951521012;0.004402657685416051;-0.5222051429194814;0.0011382632427003397;0.014380881860470962;0.004652032383210084;True;True;True
179;9,10-DiHOME;Lipid;Fatty Acid, Dihydroxy;HMDB0004704;C14828;-0.42014304857414275;0.4936727053506584;-0.2491573914231522;0.9138157539248011;1.2513361806414823e-05;-0.7428300967738106;0.0002385974524138518;0.00013748446867827195;0.0013547211056518028;True;True;True
181;laurate (12:0);Lipid;Medium Chain Fatty Acid;HMDB0000638;C02679;-0.09022913027997137;0.7455844800462007;-0.16860055458616527;0.8358136103261721;0.00032551340857349094;-0.914185034632366;0.00014486901398302828;0.0018501566145464013;0.0009231904896605058;True;True;True
189;N6,N6,N6-trimethyllysine;Amino Acid;Lysine Metabolism;HMDB0001325;C03793;-0.08833991127504447;0.8133763894527141;-0.08166196908763373;0.9017163007277585;2.147477376065061e-06;-0.8950383585403479;8.138712855860832e-07;3.4790975586348804e-05;2.2837874981887483e-05;True;True;True
207;adenosine 3',5'-cyclic monophosphate (cAMP);Nucleotide;Purine Metabolism, Adenine containing;HMDB0000058;C00575;-0.06314764495268255;0.20944861438370388;-0.03713211492311648;0.2725962593363864;0.005660448374867703;-0.24658072930682035;0.01642866959376983;0.017163940233469812;0.03797939544179852;True;True;True
208;adenosine 5'-diphosphate (ADP);Nucleotide;Purine Metabolism, Adenine containing;HMDB0001341;C00008;0.12139540304575672;-0.2889166919491696;0.0828595903922445;-0.41031209499492627;0.0046365980315293395;0.3717762823414141;0.005259174925151437;0.01497482756587765;0.015448826342632348;True;True;True
211;2'-deoxyadenosine;Nucleotide;Purine Metabolism, Adenine containing;HMDB0000101;C00559;0.12775316655917515;-1.1818080607438644;0.038073606142972685;-1.3095612273030395;4.68755841283412e-05;1.219881666886837;8.846736569374038e-05;0.0004003295493089794;0.0006866366181367372;True;True;True
