Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000045392;0.1786646706742163;0.6319464262707221;0.6035652491216374;0.7317509425259228;0.0433264904659061;0.5726213543254879;WT;1.3361541181646346;0.2414673697567517;OUI;NON
ENSMUSG00000045761;11.002460742197233;18.20796495429487;22.892872148715824;21.152696640763004;0.0469910950306741;0.7147959907612911;WT;1.050307221183863;-0.1135407824872589;OUI;NON
ENSMUSG00000045934;4.125149338678776;12.606597330433962;8.696738841763137;12.4965931841313;0.0147529984537014;0.2203849336417707;WT;1.057966447222858;0.5179929149518623;OUI;NON
ENSMUSG00000045948;15.232452774977022;12.577577661546531;35.57889738925704;26.01825493776472;0.0021326637734199;0.034496097193146;WT;1.2184825239157782;-0.4500125232646305;OUI;NON
ENSMUSG00000046058;2.730661676491596;3.58835305489323;6.117965661163519;5.439633634931548;0.0163126344679762;0.4175956721779628;WT;1.1353033221930389;-0.1666520829607196;OUI;NON
ENSMUSG00000046807;0.1758750739760475;1.7684363851986753;0.4998971369763573;2.0487693153411786;0.0211204364544118;0.1190780617562845;WT;1.1207000348629754;1.8407235568434743;OUI;NON
ENSMUSG00000047181;0.8291137146847831;5.8451099435745935;1.784986104679186;5.542485783267411;0.0175824284626993;0.1222735353572439;WT;1.0206268039122284;1.5817769898312397;OUI;NON
ENSMUSG00000047363;0.4349121643269968;0.3234444186854542;1.0306618885748424;0.6983564467087373;0.0188504461605906;0.1143521009402686;WT;1.0797936552728975;-0.5020626488780386;OUI;NON
ENSMUSG00000047414;6.011874315551811;49.26895394666627;13.655005685115476;43.39504895435829;0.0308292349917853;0.0999531076480815;WT;1.1702699546956703;1.6608944522528053;OUI;NON
ENSMUSG00000047721;5.855403667866943;5.796041265703458;13.688386670235287;9.879420192014882;0.0046317012374371;0.0498838504595744;WT;1.211182457188981;-0.4664257601471707;OUI;NON
