Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000085201;0.40709205478342936;0.5271920040718071;0.20511644890396344;0.33275350483297556;0.011577388945186371;0.1899956980137572;WT treated;-1.638975446317809;0.8243879858238572;OUI;NON
ENSMUSG00000085272;2.950394709609855;1.8967160148389686;20.866914556844172;6.249889697614183;1.5377121842143954e-05;3.6645518947376915e-09;WT treated;3.215856321521683;-1.613271671768529;OUI;OUI
ENSMUSG00000085316;0.05306595335157118;0.03221213475254814;0.3037993205669803;0.04859243179954674;0.04509918013728165;0.005684018917323478;WT treated;2.974489271587136;-2.520447114752351;OUI;OUI
ENSMUSG00000085348;52.26289738277538;60.773810003615274;33.11662243570748;41.692781451023976;1.9053422767207775e-09;1.8103229692422752e-05;WT treated;-1.1529854615483206;0.46393451665176344;OUI;OUI
ENSMUSG00000085419;0.3831072360017697;0.4656398807968689;2.364622183105535;1.6275686304212247;1.3068396725800622e-06;0.4066893370740932;WT treated;2.068719428515363;-0.3990769752257333;OUI;NON
ENSMUSG00000085457;1.5321252701298314;1.8848885740624257;5.2747190827413215;2.10452401042265;0.00015653051193955872;5.8783106481523835e-06;WT treated;1.215032008213433;-1.1892468836820838;OUI;OUI
ENSMUSG00000085604;0.10082525376410703;0.031254752675828765;0.523031410607252;0.20332645949051562;0.016258264569254135;0.18651962628256366;WT treated;3.760514566492361;-1.2472933602836045;OUI;NON
ENSMUSG00000085755;0.06380336363171439;0.03221213475254814;0.43716411218784473;0.13000301976521744;0.015609757953219824;0.04480652582131528;WT treated;3.4868351419287276;-1.6141800892956588;OUI;OUI
ENSMUSG00000085772;0.1533598871861899;0.19135804436185005;1.545911818823013;0.4300842587338195;4.998606878584297e-06;1.7202316476497673e-05;WT treated;2.7250970511163315;-1.7147898170162401;OUI;OUI
ENSMUSG00000085980;0.007662163562060154;0.033169516829267505;1.1027720191792034;0.1948184443443391;9.656209473096457e-05;6.269922745690837e-07;WT treated;4.822562193122517;-2.368110324842751;OUI;OUI
ENSMUSG00000086096;0.668126100556596;0.5182663022709283;1.3290452906664456;0.8924135818092269;0.011002661004055194;0.19200879623671574;WT treated;1.096225656190748;-0.4455088271133591;OUI;NON
