"Protein Annotation","Unnamed: 1","Unnamed: 2","Unnamed: 3","LFQ intensity 180808_AM_Ech13_rep1","LFQ intensity 180808_AM_Ech13_rep2","LFQ intensity 180808_AM_Ech13_rep3","LFQ intensity 180808_AM_Ech14_rep1","LFQ intensity 180808_AM_Ech14_rep2","LFQ intensity 180808_AM_Ech14_rep3","LFQ intensity 180808_AM_Ech17_rep1","LFQ intensity 180808_AM_Ech18_rep1","LFQ intensity 180808_AM_Ech19_rep1","LFQ intensity 180808_AM_Ech20_rep1","LFQ intensity 180808_AM_Ech17_rep2","LFQ intensity 180808_AM_Ech18_rep2","LFQ intensity 180808_AM_Ech19_rep2","LFQ intensity 180808_AM_Ech20_rep2","LFQ intensity 180808_AM_Ech17_rep3","LFQ intensity 180808_AM_Ech18_rep3","LFQ intensity 180808_AM_Ech19_rep3","LFQ intensity 180808_AM_Ech20_rep3","LFQ intensity 180808_AM_Ech21_rep1","LFQ intensity 180808_AM_Ech22_rep1","LFQ intensity 180808_AM_Ech23_rep1","LFQ intensity 180808_AM_Ech24_rep1","LFQ intensity 180808_AM_Ech21_rep2","LFQ intensity 180808_AM_Ech22_rep2","LFQ intensity 180808_AM_Ech23_rep2","LFQ intensity 180808_AM_Ech24_rep2","LFQ intensity 180808_AM_Ech21_rep3","LFQ intensity 180808_AM_Ech22_rep3","LFQ intensity 180808_AM_Ech23_rep3","LFQ intensity 180808_AM_Ech24_rep3","logFC_Patho","P.Value_Patho","adj.P.Val_Patho","logFC","adj.P.Val","logFC_Rescue","P.Value_Rescue","adj.P.Val_Rescue"
"A2AAJ9","sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2","Obscn","Obscurin",30.2047845943582,30.0572742452979,30.0620435409844,30.2738228676134,30.4385107207267,30.2356524955873,30.0939013490096,29.6330764040775,29.5682223120897,29.8632124375853,30.1984206370223,29.4097195807446,29.6040256985117,29.7676101771746,30.1091811129977,29.5537142652645,29.6819913422623,29.8333092163131,29.8599639530168,30.0496830522618,29.8736945793603,30.1449158728757,29.9112268397799,30.0467661237576,29.7718351878827,29.9748559116594,29.9000570081899,29.9207262658931,29.8283348664153,30.0035567429658,-0.435649366340236,4.04050776335638e-05,0.000166179290532732,-0.435649366340236,0.000166179290532732,0.164102655917109,0.0340251912009897,0.0697154449501129
"A2ABU4","sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1","Myom3","Myomesin-3",25.7726337023777,25.8954375690521,25.4897854093731,25.4869127498104,25.6135462140984,25.7141091873861,26.6469916040012,26.626463148327,26.6148069728803,27.0094535556289,26.656313730021,26.4532823060199,26.7646819651653,27.0653035842856,26.8172881809649,26.667145844627,26.541313641764,27.1387816141359,26.1707316028976,25.9457056426016,26.2569291197304,26.1023271610265,25.9996304668744,26.0970908365527,26.1878620203331,26.0977770016365,26.115007013289,25.8226432424306,25.9820341807876,26.3396031836478,1.08808137363545,3.48955932338011e-13,3.08909084864934e-11,1.08808137363545,3.08909084864934e-11,-0.65704038966777,4.21960556903972e-10,1.1609943322815e-08
"A2AGT5","sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1","Ckap5","Cytoskeleton-associated protein 5",NA,NA,NA,25.1018222190883,NA,NA,NA,NA,NA,25.8006739244929,NA,24.9074255288646,NA,NA,NA,24.9961708337629,24.9288671222585,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8908620558529,NA,NA,NA,0.0564621332564457,0.884514595046507,0.907424192188197,0.0564621332564457,0.907424192188197,-0.267422296491791,0.50070035776108,0.614234961176968
"A2AJI0","sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1","Map7d1","MAP7 domain-containing protein 1",22.5827045404411,22.6667324085009,22.2557124790734,22.491470620319,22.7874033577156,22.5531108858719,22.8658189248832,22.691968258287,23.1321318300219,22.6072762115739,22.6017069927797,22.9651411975481,22.7523677530901,22.7361626557989,22.9846580801047,22.5570774832191,22.802953465526,22.9674564904862,22.6233345241555,22.694029228641,22.1316291904266,22.2084378757165,22.6883512433122,23.0260525064844,22.2797563048539,22.7379763664678,22.5382564230702,22.4811344754433,22.2909211761029,NA,0.249204229956234,0.0269575237997178,0.0532561495681992,0.249204229956234,0.0532561495681992,-0.287222431821327,0.00319420128749581,0.00926510795138091
"A2AM05","sp|A2AM05|CNTLN_MOUSE Centlein OS=Mus musculus OX=10090 GN=Cntln PE=1 SV=1","Cntln","Centlein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7267235630116,NA,NA,NA,29.6041043528514,29.5485219321629,NA,NA,29.6269739586171,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2AMM0","sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1","Murc","Muscle-related coiled-coil protein",27.774698382574,27.741724384585,27.7356115739799,27.3899287000421,27.45413591879,27.4066161256516,27.8063069861514,27.7764679794519,27.787177451011,27.8273698062426,27.9279660917949,27.9474741759561,27.8378994573795,27.7432999114403,27.8730555442928,27.9545859782811,27.8030910862865,27.795307710855,27.7437526874995,27.8375844232253,27.8719364075998,27.7995604684278,27.756135751272,27.9384442968189,27.8309762738401,27.8798172757892,27.8391374317229,27.9384282676266,27.8403903901486,27.8268223207575,0.256214333991501,2.70186043953483e-05,0.000117080619046509,0.256214333991501,0.000117080619046509,0.00191531796541966,0.964066782439534,0.974752172406654
"A2AN08","sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1","Ubr4","E3 ubiquitin-protein ligase UBR4",NA,NA,NA,22.9427661308344,NA,NA,NA,NA,NA,22.9034590788226,23.2170402964054,23.0298777254163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7691444303296,NA,0.107359569380336,0.562794449216565,0.661336840135016,0.107359569380336,0.661336840135016,-0.280981269885196,0.169879459419744,0.259879141256892
"A2AQP0","sp|A2AQP0|MYH7B_MOUSE Myosin-7B OS=Mus musculus OX=10090 GN=Myh7b PE=3 SV=1","Myh7b","Myosin-7B",NA,NA,NA,NA,NA,NA,NA,NA,24.8552292148664,25.4511928251602,NA,NA,25.1381978735173,25.3746779595593,NA,NA,24.6669108989044,24.975908650857,NA,NA,NA,NA,NA,NA,NA,NA,24.570306507074,NA,NA,NA,NA,NA,NA,NA,NA,-0.506713063403474,0.112513111466203,0.185213891182827
"A2ASS6","sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","Ttn","Titin",35.2559891376992,35.2643318294916,35.2726546130076,35.5727121192808,35.5723804811774,35.5621290395715,35.2653991131073,35.0362311754322,35.1313016374189,35.2928423393027,35.3037280766993,35.0359195657998,35.1054921222514,35.2827918859516,35.2890207207461,35.0265878310328,35.1331079893067,35.2871608071847,35.3106573375937,35.3341623601616,35.2121623503975,35.3776164402126,35.3087500807183,35.3302395047427,35.201358726115,35.3929182190019,35.3150398161967,35.3174134934961,35.1956943163705,35.3965260711147,-0.234234264685249,0.00031027194550366,0.00105062941109527,-0.234234264685249,0.00105062941109527,0.125246287657312,0.0120737852263086,0.0291404891552261
"A2AUC9","sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1","Klhl41","Kelch-like protein 41",31.1762704738441,31.1147648884306,31.1688264785666,31.1640336233014,31.1618104154282,31.1292628451665,31.0380729606976,30.9987916105325,30.8731454387772,30.8463025965658,31.0624689546277,31.0199148918048,30.8930909710571,30.8980008889339,31.1475177215358,31.0060263210597,30.9263451391427,30.8885695474978,31.1048490123409,31.0215708255824,31.0275759714022,30.9846535658551,31.1086503340003,31.0098211544634,30.9857818838557,30.995968734287,31.1108173367329,30.9759390625261,30.9676122035005,30.9736016615234,-0.185974200603528,4.65509643092111e-05,0.00018936158129283,-0.185974200603528,0.00018936158129283,0.0557162253197774,0.0905970271365984,0.155655552422024
