Protein Annotation,Unnamed: 1,Unnamed: 2,Unnamed: 3,180808_AM_Ech26_rep1,180808_AM_Ech26_rep2,180808_AM_Ech26_rep3,180808_AM_Ech27_rep1,180808_AM_Ech27_rep2,180808_AM_Ech27_rep3,180808_AM_Ech28_rep1,180808_AM_Ech28_rep2,180808_AM_Ech28_rep3,180808_AM_Ech29_rep1,180808_AM_Ech29_rep2,180808_AM_Ech29_rep3,180808_AM_Ech30_rep1,180808_AM_Ech30_rep2,180808_AM_Ech30_rep3,180808_AM_Ech31_rep1,180808_AM_Ech31_rep2,180808_AM_Ech31_rep3,180808_AM_Ech32_rep1,180808_AM_Ech32_rep2,180808_AM_Ech32_rep3,180808_AM_Ech33_rep1,180808_AM_Ech33_rep2,180808_AM_Ech33_rep3,180808_AM_Ech34_rep1,180808_AM_Ech34_rep2,180808_AM_Ech34_rep3,180808_AM_Ech35_rep1,180808_AM_Ech35_rep2,180808_AM_Ech35_rep3,180808_AM_Ech36_rep1,180808_AM_Ech36_rep2,180808_AM_Ech36_rep3,180808_AM_Ech25_rep1,180808_AM_Ech25_rep2,180808_AM_Ech25_rep3,logFC,adj.P.Val,logFC_Patho,P.Value_Patho,adj.P.Val_Patho,logFC_Rescue,P.Value_Rescue,adj.P.Val_Rescue
A2AAJ9,sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=2,Obscn,Obscurin,30.672427303744854,30.701941612652107,30.542062289952725,30.170375753955724,30.34068808574148,30.01331614119932,30.33013966183158,30.39308669376217,30.419837607509393,30.522020050237256,30.586743907164315,30.689884572429524,30.773837266691572,30.798505495321137,30.732883723789236,30.73287922592337,30.746316036134736,30.782563939888103,30.55416429078583,30.4713639240691,30.461764363635186,30.448133808974724,30.42723682834933,30.414590845680326,30.07534633551489,29.96399753055935,30.028830871696275,30.386306958259315,30.297380169281322,30.32632818922011,30.067944269683544,30.333512206618753,30.081007773554266,29.964943661018463,29.894460861683264,30.040230203339807,0.16347633908851833,0.07879163891810208,0.16347633908851833,0.04555621192871901,0.07879163891810208,-0.49032922656776634,2.542468590743084e-07,1.5754538129535591e-06
A2ABU4,sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1,Myom3,Myomesin-3,,,,,26.601813039424968,,,,26.779069102041277,24.339569620987405,,,26.048231068136346,25.751893675362286,25.740359681832537,26.79023222296354,26.65210914901425,26.317182298900892,25.871768268056176,25.89727226363076,26.089294027535608,27.136018040648565,27.14502243295601,27.083376136155604,,25.926970478194658,24.526426614921334,25.213160098341746,25.627651506188467,24.96885275993513,26.137786898648994,25.47517155356069,24.645225160106275,26.08666189186912,26.144005113243153,26.322940221255273,0.47007935128149825,0.8230210731766539,0.47007935128149825,0.6128003316140027,0.8230210731766539,-0.8246373057722742,0.003598904619455196,0.008822962620956326
A2AJI0,sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1,Map7d1,MAP7 domain-containing protein 1,,,,,,,,,,,,,,,22.24972112669181,,,,,22.22753888577789,,,,22.106479612023325,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
A2AM05,sp|A2AM05|CNTLN_MOUSE Centlein OS=Mus musculus OX=10090 GN=Cntln PE=1 SV=1,Cntln,Centlein,,,,,,,,,,,,,,,,,,29.72684769716607,,,,29.721172274380955,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
A2AMM0,sp|A2AMM0|CAVN4_MOUSE Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1,Murc,Muscle-related coiled-coil protein,26.55497593898141,26.81060063534632,26.971195081401003,26.92223429837306,26.85247330430122,26.86322747182397,26.78049941598085,26.784574524291962,26.726767499633777,26.967200352615748,27.055945870528898,27.067375806204883,28.495806204882882,28.477495915611655,28.555459254913238,28.247920388940187,28.358797714410525,28.418957526985192,28.25110457490347,28.393375782184425,28.316823297888398,28.42705345569864,28.32800902527478,28.28188118632406,27.681444675779233,27.52465217605974,27.543631600943367,27.324753249758178,27.40271415317838,27.47442957488401,27.36938151847126,27.10155232307806,27.540781164712453,27.277175413242677,27.47891891858194,27.485736387730903,1.516301177377862,1.9996679609333888e-17,1.516301177377862,2.893231329118982e-19,1.9996679609333888e-17,-0.9456260976331023,1.0478006242220952e-14,4.617644195662551e-13
A2AN08,sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1,Ubr4,E3 ubiquitin-protein ligase UBR4,,,,,,,,,,,,,23.017899036779323,,,,23.211015083612374,,,,,,,,23.089706207540218,,23.171308998001372,,,,,,23.521321797496395,23.12064760529638,,,0.0,1.0,0.0,1.0,1.0,0.11128909188774472,0.48001469626404,0.6383413228325306
A2ASS6,sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,Ttn,Titin,35.67980097809676,35.6880718307405,35.62536947556448,35.25182776583505,35.27575117501404,35.301938571842136,35.35577679372553,35.417265938669466,35.39257281202349,35.48246351238831,35.493155619720966,35.5126829275073,35.63602300359817,35.64683995458253,35.626235029219146,35.618012223778805,35.55310339894787,35.63092925343172,35.49295353927471,35.45786548774235,35.44888153203391,35.15055468570612,35.17243280970727,35.17390326566867,34.72530467623656,34.715058239719895,34.660574918403825,35.26456795374404,35.249924733097956,35.33176562090678,34.92551750546246,34.920459967473185,34.928672323628284,34.88120142054116,34.89613710791764,34.8843587609158,0.010921398546940964,1.0,0.010921398546940964,0.8794431523598383,1.0,-0.5186825796369732,3.886017072533763e-06,1.9290532263378927e-05
A2AUC9,sp|A2AUC9|KLH41_MOUSE Kelch-like protein 41 OS=Mus musculus OX=10090 GN=Klhl41 PE=1 SV=1,Klhl41,Kelch-like protein 41,30.710053754819143,30.77704431624286,30.804649752297657,30.69502759881826,30.79033115251157,30.76469217828969,30.904020639111444,30.94285892281433,30.903939115765624,30.700489589644146,30.826397830429315,30.833858786312042,30.974839186213963,31.000589610912993,30.993713097946763,30.97836795066285,31.003366337818584,31.09099006454909,31.060957582984955,31.036514112285495,31.03581831869682,31.264862715002728,31.29942413129519,31.21348549910533,30.935425590483227,30.95259385341462,30.91058006125132,30.768269690627445,30.782495869635415,30.836288090732275,31.146789208663293,31.120667702148936,31.172815717934437,31.16801372512467,31.185018197546423,31.15953315452978,0.2749637475348976,3.000540966372574e-06,0.2749637475348976,9.066743153813621e-07,3.000540966372574e-06,-0.0678698121152479,0.2523347843886322,0.3735136800217233
A3KG59,sp|A3KG59|P20D2_MOUSE Peptidase M20 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pm20d2 PE=1 SV=1,Pm20d2,Peptidase M20 domain-containing protein 2,24.938753682786448,24.742688870873597,24.6263428524188,24.6808442657006,24.79524303451157,24.518276527746725,24.900041426134095,24.945214133739746,25.032745453176837,24.757770277287005,24.468906652821985,24.588981449434637,,,,,,,24.435731690150654,,,23.76781609318453,23.712089712003177,23.27384243492297,24.745069406989295,24.683615881161657,24.662141963265228,24.47291937214268,24.169577196862704,24.58607804438386,23.995770483337765,,24.15941783357141,24.47656664777343,24.715928576369876,24.625593080324816,-0.9522807363206702,0.04603356170438873,-0.9522807363206702,0.025668129564717587,0.04603356170438873,0.6837826070876396,0.05887641474208137,0.10829162465866964
D3YXK2,sp|D3YXK2|SAFB1_MOUSE Scaffold attachment factor B1 OS=Mus musculus OX=10090 GN=Safb PE=1 SV=2,Safb,Scaffold attachment factor B1;Scaffold attachment factor B2,,,,,,,,,,,,,24.602310364603273,,,24.34945472844098,24.15194218502237,23.755256170136697,24.37395588341107,,,24.186882123294406,,24.00629082377389,23.801378578980724,24.268737933801678,,24.364012096252747,,,24.040721956423262,23.441734816818926,,,,,0.0,1.0,0.0,1.0,1.0,-0.2204103919277749,0.2987675873687929,0.42985216533364357
