Accnumber,UniProt ID,Genename,Proteinname,180808_AM_Ech26_rep1,180808_AM_Ech26_rep2,180808_AM_Ech26_rep3,180808_AM_Ech27_rep1,180808_AM_Ech27_rep2,180808_AM_Ech27_rep3,180808_AM_Ech28_rep1,180808_AM_Ech28_rep2,180808_AM_Ech28_rep3,180808_AM_Ech29_rep1,180808_AM_Ech29_rep2,180808_AM_Ech29_rep3,180808_AM_Ech30_rep1,180808_AM_Ech30_rep2,180808_AM_Ech30_rep3,180808_AM_Ech31_rep1,180808_AM_Ech31_rep2,180808_AM_Ech31_rep3,180808_AM_Ech32_rep1,180808_AM_Ech32_rep2,180808_AM_Ech32_rep3,180808_AM_Ech33_rep1,180808_AM_Ech33_rep2,180808_AM_Ech33_rep3,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR
P31786,sp|P31786|ACBP_MOUSE Acyl-CoA-binding protein OS=Mus musculus OX=10090 GN=Dbi PE=1 SV=2,Dbi,Acyl-CoA-binding protein,28.9385761172694,28.643241433469,28.7718748300613,28.8217555419503,28.9787578497079,28.858616292198,28.317806048758,28.6040866700568,28.735317893262,28.7387969021186,28.7178839163066,28.8199724331369,28.5194839422661,28.4262245091709,28.3898537967964,28.2115395120702,28.5379340978162,28.3496095876686,28.3887837205285,28.7435508494451,28.596639261758,28.4006299851604,28.7991666486946,28.56715112044,-0.251343241373309,-0.395513819956034,-0.107172662790584,28.6198855400046,-3.5961187200238,-2.68588467398938,0.001433993138038,0.00249569959600845,-1,-1
P32067,sp|P32067|LA_MOUSE Lupus La protein homolog OS=Mus musculus OX=10090 GN=Ssb PE=1 SV=1,Ssb,Lupus La protein homolog,22.7315221364308,,23.397520044013,,24.4720048360273,24.6143503427503,,,,,,,24.7043950640466,24.9251520064596,25.5652584961037,25.0643928070627,24.6670778293532,24.7290923228983,25.1006375729705,24.3001954437323,24.8075901164815,24.9050242869409,25.1827506375415,25.2148169887835,1.12668262455916,0.546163613454278,1.70720163566403,24.6488613082247,4.10991378035888,-1.60271093803884,0.000798795638041229,0.0014297355795843,1,1
P34022,sp|P34022|RANG_MOUSE Ran-specific GTPase-activating protein OS=Mus musculus OX=10090 GN=Ranbp1 PE=1 SV=2,Ranbp1,Ran-specific GTPase-activating protein,24.2389538102439,,,24.1377235600507,24.1585077777488,,,,,23.2887610916981,,,24.9912087553216,24.487511629955,24.7163349659107,24.3926842425437,24.5704123175605,24.4630909496557,24.1324832547444,24.1769709317429,,24.4563614900726,23.7959276925014,24.6142238363486,0.480123446097071,0.0671424372773319,0.89310445491681,24.3080770870732,2.4749270115764,-4.98195256284785,0.025554186002036,0.0363839344453767,1,1
P38060,"sp|P38060|HMGCL_MOUSE Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus OX=10090 GN=Hmgcl PE=1 SV=2",Hmgcl,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",,,24.6613145085559,,24.6220916855512,24.6813279023422,,,24.6096405183346,24.7965314384167,25.2672582647863,25.0566905786802,24.6447824332741,,24.4714966562296,24.3763635527302,24.3792741400927,24.4567696553051,24.5347947522984,24.3433567706731,,24.3793653749597,24.1794684385025,24.1639853499139,-0.420584987125963,-0.622137260715507,-0.219032713536419,24.5661477659204,-4.39841872772578,-1.04208163362324,0.000381851723936314,0.000713446833883591,-1,-1
P43024,"sp|P43024|CX6A1_MOUSE Cytochrome c oxidase subunit 6A1, mitochondrial OS=Mus musculus OX=10090 GN=Cox6a1 PE=1 SV=2",Cox6a1,"Cytochrome c oxidase subunit 6A1, mitochondrial",25.1185993295138,25.7335653698756,25.1769004705174,26.1222115418507,25.5902533253505,25.6334720956866,25.1200122124369,25.204714218098,25.8513223236042,25.4159919734526,25.5640765172685,25.6211470975112,25.4329802550759,25.3253341107484,25.025421516419,25.0674379056217,25.302615168347,25.040296291479,25.5119475235561,25.0682304093298,25.1708179662646,25.1890395235872,,25.4599842696881,-0.276861151101702,-0.49541823861031,-0.0583040635930945,25.3802770180558,-2.61916405335123,-4.92258386478037,0.0152698913950601,0.0227946420000485,-1,-1
P48428,sp|P48428|TBCA_MOUSE Tubulin-specific chaperone A OS=Mus musculus OX=10090 GN=Tbca PE=1 SV=3,Tbca,Tubulin-specific chaperone A,,23.9432874871062,,,24.3375384418988,,,,,,,,23.2385913120479,23.8135830860199,23.2743166463147,23.5259996316314,23.5251100574586,23.5845335423355,,22.8139296198339,,23.0843633982551,,22.9811609266479,-0.824680939997521,-1.33208101513315,-0.317280864861887,23.4656740135955,-3.56890778258589,-2.8170116851198,0.00427485106791442,0.00695503859139335,-1,-1
P56376,sp|P56376|ACYP1_MOUSE Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2,Acyp1,Acylphosphatase-1,24.4203544924303,,24.3074760622302,24.2913231171615,,24.2507559270438,24.3601627878144,24.2551978010428,,24.3012342486262,,,24.1634621598483,23.8882227196839,,23.9818150327887,23.9003752096917,24.0878151603444,23.8351217680836,23.895726371163,,,23.7507710580805,24.1017413809877,-0.356241014324446,-0.486706774814323,-0.22577525383457,24.1119722060638,-5.77965010642026,1.75433218396679,2.61571922217949e-05,5.75617239166551e-05,-1,-1
P56812,sp|P56812|PDCD5_MOUSE Programmed cell death protein 5 OS=Mus musculus OX=10090 GN=Pdcd5 PE=1 SV=3,Pdcd5,Programmed cell death protein 5,,24.4769955221953,24.4006958108063,25.0858984020933,24.2462614702759,24.6315313012422,,24.8106513301547,24.4429225406493,23.8915442115635,24.4906330809352,24.577025275716,24.1427447556131,24.1683915278504,24.2519742881152,,,,24.4719781979584,24.313797697674,24.2116290925689,23.6875611871912,24.3986051291689,,-0.299580660045649,-0.573245348506494,-0.0259159715848038,24.3722689345429,-2.29792985172093,-5.48379607894675,0.0336169144786969,0.0468050886203395,-1,-1
P61202,sp|P61202|CSN2_MOUSE COP9 signalosome complex subunit 2 OS=Mus musculus OX=10090 GN=Cops2 PE=1 SV=1,Cops2,COP9 signalosome complex subunit 2,25.3471111674838,25.3432627325271,25.4489800159542,25.2101360046555,25.2623484177977,24.8065184513163,25.3674403064841,25.3428200531742,25.2595648324969,25.2429051052901,25.431948668265,25.2157338605231,25.3649925698434,25.4249277045524,25.1927958206267,25.2958728403676,24.9959088858101,24.7916297765755,24.8654790779934,24.9512181376339,24.5022692168157,24.831305398493,24.322050515715,24.845488079041,-0.324569299375028,-0.541461658447321,-0.107676940302735,25.1109461516431,-3.08707395492495,-3.89659407778359,0.00500832319320834,0.00806679864712534,-1,-1
P61222,sp|P61222|ABCE1_MOUSE ATP-binding cassette sub-family E member 1 OS=Mus musculus OX=10090 GN=Abce1 PE=1 SV=1,Abce1,ATP-binding cassette sub-family E member 1,26.2673289882603,25.9342595355293,25.8692018778021,25.9802916543893,25.921454093158,25.8040877957058,25.8651493505914,25.6829114348912,25.8229461965742,25.9789728006593,26.2094863797169,25.7975344811602,25.6488999514548,25.7248406705599,25.6681443493056,25.5240468334153,25.6867360359436,25.398691977139,25.6248651630744,25.5460446768254,25.6378020673559,25.7405144134594,25.5609372372419,25.7481481495236,-0.301996088594905,-0.422673425005219,-0.181318752184591,25.776804004739,-5.16148356917975,1.27503338321299,2.66288586634168e-05,5.83337176166831e-05,-1,-1
P61971,sp|P61971|NTF2_MOUSE Nuclear transport factor 2 OS=Mus musculus OX=10090 GN=Nutf2 PE=1 SV=1,Nutf2,Nuclear transport factor 2,27.0273018135203,27.0461177385696,27.4469277584909,26.9049846481032,27.0312057343622,27.0404080603477,27.0457128724801,27.1171295553845,26.9692709777767,27.3389627518767,27.379965568006,27.2019623667659,26.9609261883855,26.9614055484947,26.8878232996796,26.4648219509881,26.8492613739853,26.7724104129963,26.8180905433877,27.0356864377469,27.0728917880288,26.8065522386687,26.9464053525925,26.8032154232588,-0.264204940622577,-0.404959532979701,-0.123450348265452,26.997060016829,-3.87187931410847,-2.00624717422888,0.000717123240169306,0.00129799306470644,-1,-1
P62141,sp|P62141|PP1B_MOUSE Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus OX=10090 GN=Ppp1cb PE=1 SV=3,Ppp1cb,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,,25.0086915286156,24.7840267491052,,,,,,,25.1642748838387,,,,24.7692044509237,,24.6112197014041,,,,,,,24.5632238477778,24.5667041055982,-0.35807636076051,-0.633834969443997,-0.0823177520770232,24.7810493238948,-3.04616457864585,-4.06515473100062,0.0177935660890968,0.026264101627943,-1,-1
P62267,sp|P62267|RS23_MOUSE 40S ribosomal protein S23 OS=Mus musculus OX=10090 GN=Rps23 PE=1 SV=3,Rps23,40S ribosomal protein S23,25.7753544089233,,24.8591741785255,,,24.7087669908848,,,,,,24.7904569915884,,,26.0633213194704,25.5809500303395,25.3539183361027,25.7126516135998,25.327557057537,26.1604039693557,,25.3092642347274,25.4376221540573,25.173479270348,0.535358300357011,0.0603685298294798,1.01034807088454,25.4040708119584,2.43090898841637,-5.06931034053701,0.03000706839337,0.0421029409240307,1,1
P62631,sp|P62631|EF1A2_MOUSE Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1,Eef1a2,Elongation factor 1-alpha 2,31.4446739880622,31.6435586537208,31.5641506712028,31.6123352756246,31.5811364918678,31.6128936463122,31.5754252397448,31.7925730379987,31.6039717535842,31.6471252506119,31.8055489941303,31.6265851408989,31.3958836612239,31.3501352433056,31.2763604561521,31.2205100163641,31.2453654219864,31.2533360892405,31.3812107592974,31.2982156978862,31.305197590567,31.3408423897552,31.1381076278071,31.0729530962221,-0.352655007829309,-0.442377176007462,-0.262932839651156,31.4495040080653,-8.1067959590868,8.45937076690104,2.27062353412524e-08,7.2579754468286e-08,-1,-1
P62774,sp|P62774|MTPN_MOUSE Myotrophin OS=Mus musculus OX=10090 GN=Mtpn PE=1 SV=2,Mtpn,Myotrophin,,,24.7285699935038,23.5592809074172,24.5931717344962,,,,24.689789928668,,,,24.7593077830028,25.0243054423082,24.863193173278,24.9380047877516,25.0414854729224,25.1947558952471,24.9909949022805,24.7899702597115,24.5846225477509,24.8925221574515,24.3599689457469,24.7651431473156,0.457653068542626,0.0796488878514383,0.835657249233814,24.7359429424283,2.56381885223955,-4.80716031884763,0.0206578871129583,0.0300327515457465,1,1
